id,name_ja,name_kana,name_en,genus_ja,generation,type1,type2,height,weight,hp,attack,defense,special_attack,special_defense,speed,base_stats_total,is_legendary,is_mythical,flavor_text_ja,sprite_url,artwork_url
1,フシギダネ,,bulbasaur,たねポケモン,1,grass,poison,0.7,6.9,45,49,49,65,65,45,318,0,0,生まれたときから 背中に 不思議な タネが 植えてあって 体と ともに 育つという。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png
2,フシギソウ,,ivysaur,たねポケモン,1,grass,poison,1.0,13.0,60,62,63,80,80,60,405,0,0,つぼみが 背中に ついていて 養分を 吸収していくと 大きな 花が 咲くという。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png
3,フシギバナ,,venusaur,たねポケモン,1,grass,poison,2.0,100.0,80,82,83,100,100,80,525,0,0,大きな 花びらを 広げ 太陽の 光を 浴びていると 体に 元気が みなぎっていく。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png
4,ヒトカゲ,,charmander,とかげポケモン,1,fire,,0.6,8.5,39,52,43,60,50,65,309,0,0,尻尾の 炎は ヒトカゲの 生命力の 証。 元気だと さかんに 燃えさかる。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png
5,リザード,,charmeleon,かえんポケモン,1,fire,,1.1,19.0,58,64,58,80,65,80,405,0,0,尻尾を 振り回して 相手を なぎ倒し 鋭い ツメで ズタズタに ひきさいてしまう。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png
6,リザードン,,charizard,かえんポケモン,1,fire,flying,1.7,90.5,78,84,78,109,85,100,534,0,0,口から 灼熱の 炎を 吐き出すとき 尻尾の 先は より 赤く 激しく 燃え上がる。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png
7,ゼニガメ,,squirtle,かめのこポケモン,1,water,,0.5,9.0,44,48,65,50,64,43,314,0,0,甲羅に 閉じこもり 身を 守る。 相手の すきを 見逃さず 水を 噴き出して 反撃する。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png
8,カメール,,wartortle,かめポケモン,1,water,,1.0,22.5,59,63,80,65,80,58,405,0,0,ポカンと 頭を たたかれるとき 甲羅に 引っこんで 避ける。でも ちょっとだけ 尻尾が 出ているよ。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png
9,カメックス,,blastoise,こうらポケモン,1,water,,1.6,85.5,79,83,100,85,105,78,530,0,0,体が 重たく のしかかって 相手を 気絶させる。 ピンチのときは 殻に 隠れる。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png
10,キャタピー,,caterpie,いもむしポケモン,1,bug,,0.3,2.9,45,30,35,20,20,45,195,0,0,頭の 触覚から 強烈な においを 出して 敵を 追い払い 身を守る。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png
11,トランセル,,metapod,さなぎポケモン,1,bug,,0.7,9.9,50,20,55,25,25,30,205,0,0,鋼鉄のように 硬い 殻で やわらかい 中身を 守っている。 進化するまで じっと 耐えている。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png
12,バタフリー,,butterfree,ちょうちょポケモン,1,bug,flying,1.1,32.0,60,45,50,90,80,70,395,0,0,花の ミツが 大好物。 わずかな 花粉で 花畑の 場所を 探し出すことが できる。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png
13,ビードル,,weedle,けむしポケモン,1,bug,poison,0.3,3.2,40,35,30,20,20,50,195,0,0,森や 草地に 多く 生息。 頭の 先に ５センチぐらいの 小さく 鋭い 毒針を持つ。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png
14,コクーン,,kakuna,さなぎポケモン,1,bug,poison,0.6,10.0,45,25,50,25,25,35,205,0,0,自分では ほとんど 動けないが 危ないときは 硬くなって 身を守っているようだ。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png
15,スピアー,,beedrill,どくばちポケモン,1,bug,poison,1.0,29.5,65,90,40,45,80,75,395,0,0,両手と お尻にある ３本の 毒針で 相手を 刺して 刺して 刺しまくって 攻撃する。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png
